"Taxa","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Natrarchaeobaculum aegyptiacum",7,156,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrarchaeobaculum","aegyptiacum"
"Natrarchaeobaculum sulfurireducens",8,128,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrarchaeobaculum","sulfurireducens"
"Natrialba magadii",10,196,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrialba","magadii"
"Natrinema pallidum",6,146,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrinema","pallidum"
"Natrinema pellirubrum",9,234,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrinema","pellirubrum"
"Natrinema sp. DC36",7,160,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrinema","sp. DC36"
"Natrinema sp. J7-2",7,89,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrinema","sp. J7-2"
"Natrinema sp. SLN56",10,192,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrinema","sp. SLN56"
"Natrinema sp. SYSU A 869",7,147,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrinema","sp. SYSU A 869"
"Natrinema sp. YPL30",12,280,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrinema","sp. YPL30"
"Natrinema versiforme",9,231,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natrinema","versiforme"
"Natronobacterium gregoryi",8,159,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natronobacterium","gregoryi"
"Natronococcus occultus",9,222,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natronococcus","occultus"
"Natronorubrum aibiense",5,81,"Archaea","Euryarchaeota","Halobacteria","Natrialbales","Natrialbaceae","Natronorubrum","aibiense"
